Fecha,Recuento Real,Predicción,Intervalo Inferior,Intervalo Superior,Desviación
2024-10-03,12,21.94658593406739,14.984318831819623,32.33533573232318,1
2024-10-03,11,13.453263165084909,10.693803968253967,17.75691048534798,1
2024-10-03,63,41.825015451796475,27.5262246486937,51.945074905303024,1
2024-10-03,100,37.18459702673744,23.121848793697716,50.93926161198414,1
2024-10-04,29,30.0381447516259,17.841450149156397,43.45530269401822,1
2024-10-04,13,20.660205084420554,16.1322503968254,27.31516380494505,1
2024-10-04,29,27.44604543269595,16.36606388888889,40.39098809523809,1
2024-10-04,17,15.846187537271575,9.25493005952381,21.146973122794893,1
2024-10-05,42,41.43061827966355,36.21589702380953,46.40672005968703,1
2024-10-05,1,6.2664848510699835,2.1249009289321785,16.214699305555534,1
2024-10-05,8,15.264014784699215,9.55916150793651,26.175113690476177,1
2024-10-05,17,27.50031910339661,15.444575144300147,40.37886279761904,1
2024-10-07,22,16.520229679544364,12.638717418345546,22.74694792360417,1
2024-10-07,51,28.090841724150472,18.956225126553555,38.4689633008658,1
2024-10-07,42,36.4328005104796,22.909117361111115,45.716233836996324,1
2024-10-07,34,14.355193654317908,9.480235714285715,19.817311516955264,1
2024-10-08,47,42.58351139672826,20.866618154761905,58.35047040945166,1
2024-10-08,38,36.10587290212077,25.201228652597397,54.16706254562429,1
2024-10-08,57,43.5681615426677,30.283073128954378,54.73645474664224,1
2024-10-08,6,31.194379927030923,19.761011879160264,42.564794940476176,1
2024-10-09,6,12.157095413671765,6.054921103896105,27.94036488095238,1
2024-10-09,18,17.045341684534534,11.277304942279942,24.543035931176657,1
2024-10-09,77,40.095283341722805,26.38987529311647,48.5847812956858,1
2024-10-09,28,18.98544376800847,10.43738253968254,25.902028238488555,1
2024-10-10,1,30.769634580606386,20.365158366633363,44.42764065029971,1
2024-10-10,30,25.80963958849972,15.21842996031746,31.104521230158728,1
2024-10-10,14,13.959243830891335,8.979884523809522,20.82553648989898,1
2024-10-10,45,24.27628737815623,16.999156069624817,33.68780367063492,1
2024-10-11,14,11.98414944884201,9.94265515873016,14.059195634920634,1
2024-10-11,54,47.619449515084035,23.94345099206349,65.13484583333333,1
2024-10-11,27,27.31237492562078,16.35587693903319,34.02003789682539,1
2024-10-11,33,37.99260560786482,26.675297768550895,48.57724155463191,1
2024-10-14,25,17.323367246291717,12.091979319985569,28.30552083333332,1
2024-10-14,29,18.174746547935545,10.15511047979798,27.932614583333308,1
2024-10-14,14,24.896668719538653,18.107391549422797,33.67352414021163,1
2024-10-14,12,19.558224920519276,11.089210878010878,36.973331547619026,1
2024-10-15,19,15.922928027640987,8.854217772260418,29.270046415043286,1
2024-10-15,17,13.435515610712825,5.110479067460318,19.886016567460317,1
2024-10-15,19,21.96551032606616,10.22218363095238,31.483099802995607,1
2024-10-15,31,32.25526032769922,21.09882922077922,42.97989604978355,1
2024-10-16,16,18.185900706444723,11.396510014005601,30.580828503787867,1
2024-10-16,55,34.616914467767245,24.583090924820798,41.76713112560333,1
2024-10-16,9,16.22792999044513,8.812919343156842,27.216873276723273,1
2024-10-16,6,12.826958782596956,5.003221230158729,30.029167559523792,1
2024-10-17,36,35.57750899278612,23.97675448179272,44.24660121614497,1
2024-10-17,14,15.687414282661784,9.532855555555555,21.391430275974024,1
2024-10-17,40,34.51413994213208,22.66514619864902,43.538815376984125,1
2024-10-17,28,37.196830685076804,23.832155379424503,48.17183589083416,1
2024-10-18,20,18.56436861194361,12.897888861832614,26.6372026154401,1
2024-10-18,2,6.420248994616495,2.3461989267676766,16.78728363095237,1
2024-10-18,42,26.320707836916228,16.454822041153296,31.793613025210085,1
2024-10-18,7,11.492898691200239,7.229168253968252,21.306853490259737,1
2024-10-19,3,13.006355963203454,7.612559774947274,20.472334325396822,1
2024-10-19,22,23.61049656488497,15.81035575844499,35.600890831936276,1
2024-10-19,21,19.157702720890217,13.341866585497836,29.410734036796512,1
2024-10-19,8,21.57359450458898,14.87423860930736,32.06570825216449,1
2024-10-21,3,5.6145753468581665,2.6154935876623377,13.444828373015866,1
2024-10-21,56,45.522987536407,26.636669448953825,54.21413474476912,1
2024-10-21,13,5.653585220595538,2.469004464285714,12.955849999999996,1
2024-10-21,3,22.322095224473298,17.287330974540165,29.276973355810853,1
2024-10-22,28,18.61784001720502,13.070705907287156,29.32218225108223,1
2024-10-22,5,26.393159025639,17.819548571428577,37.3423915223665,1
2024-10-22,5,5.859570706953865,2.164279464285714,13.694738789682537,1
2024-10-22,4,5.7269001423576436,1.8386142316017318,14.552295833333332,1
2024-10-23,13,23.457889836584982,17.087901064213565,28.052343650793638,1
2024-10-23,19,16.116896394547105,11.506908035714288,27.258775686873495,1
2024-10-23,18,18.965613578279182,13.381554481629482,24.653297367909865,1
2024-10-23,23,30.054332896501247,22.403240773809525,36.08614894688644,1
2024-10-24,2,7.293717710900208,3.690876244588745,14.678809027777774,1
2024-10-24,10,7.945293995726498,4.592388492063492,10.271812797619047,1
2024-10-24,16,31.123681592911666,20.319610673362263,57.848782359307314,1
2024-10-24,15,28.806906158547218,20.020738690476193,34.935814880952364,1
2024-10-25,1,11.834508812816603,7.631693272005769,21.61343511904761,1
2024-10-25,37,36.0277034466922,27.07521672077922,45.97916874999999,1
2024-10-25,25,27.428274038767178,19.2425609966787,34.66652304837164,1
2024-10-25,90,71.96984140043655,41.98079289807415,91.57668243145741,1
2024-10-26,38,36.97537338967904,23.914258302114547,51.138253273809525,1
2024-10-26,15,16.711671141356657,11.148220882135108,21.75627470238095,1
